RT-PUB-001	HOST-PUBLIC	/
RT-PUB-002	HOST-PUBLIC	/search
RT-PUB-003	HOST-PUBLIC	/pricing
RT-PUB-004	HOST-PUBLIC	/post
RT-PUB-005	HOST-PUBLIC	/post/property
RT-PUB-006	HOST-PUBLIC	/post/requirement
RT-PUB-007	HOST-PUBLIC	/saved
RT-PUB-008	HOST-PUBLIC	/property/[propertySlugId]
RT-PUB-009	HOST-PUBLIC	/project/[projectSlugId]
RT-PUB-010	HOST-PUBLIC	/requirement/[requirementPublicId]
RT-PUB-011	HOST-PUBLIC	/profile/owner/[profileSlugId]
RT-PUB-012	HOST-PUBLIC	/profile/broker/[profileSlugId]
RT-PUB-013	HOST-PUBLIC	/profile/builder/[profileSlugId]
RT-SEO-001	HOST-PUBLIC	/properties/[citySlug]
RT-SEO-002	HOST-PUBLIC	/properties/[citySlug]/[purposeSlug]
RT-SEO-003	HOST-PUBLIC	/properties/[citySlug]/[purposeSlug]/[propertyTypeSlug]
RT-SEO-004	HOST-PUBLIC	/properties/[citySlug]/locality/[localitySlug]
RT-SEO-005	HOST-PUBLIC	/properties/[citySlug]/locality/[localitySlug]/[purposeSlug]
RT-SEO-006	HOST-PUBLIC	/projects/[citySlug]
RT-SEO-007	HOST-PUBLIC	/projects/[citySlug]/[propertyTypeSlug]
RT-SEO-008	HOST-PUBLIC	/locations/[locationSlugId]
RT-AUTH-001	HOST-PUBLIC	/login
RT-AUTH-002	HOST-PUBLIC	/register
RT-AUTH-003	HOST-PUBLIC	/verify-otp
RT-AUTH-004	HOST-PUBLIC	/auth/callback
RT-AUTH-005	HOST-PUBLIC	/auth/error
RT-AUTH-006	HOST-PUBLIC	/logout
RT-AUTH-007	HOST-PUBLIC	/session-expired
RT-AUTH-008	HOST-PUBLIC	/onboarding
RT-AUTH-009	HOST-PUBLIC	/invitation/accept
RT-AUTH-010	HOST-PUBLIC	/account/change-mobile
RT-CONTENT-001	HOST-PUBLIC	/about
RT-CONTENT-002	HOST-PUBLIC	/contact
RT-CONTENT-003	HOST-PUBLIC	/how-it-works
RT-CONTENT-004	HOST-PUBLIC	/safety
RT-CONTENT-005	HOST-PUBLIC	/verification
RT-CONTENT-006	HOST-PUBLIC	/help
RT-CONTENT-007	HOST-PUBLIC	/help/[articleSlugId]
RT-CONTENT-008	HOST-PUBLIC	/blog
RT-CONTENT-009	HOST-PUBLIC	/blog/[postSlugId]
RT-CONTENT-010	HOST-PUBLIC	/blog/category/[categorySlugId]
RT-CONTENT-011	HOST-PUBLIC	/blog/tag/[tagSlugId]
RT-CONTENT-012	HOST-PUBLIC	/blog/author/[authorSlugId]
RT-LEGAL-001	HOST-PUBLIC	/legal/terms
RT-LEGAL-002	HOST-PUBLIC	/legal/privacy
RT-LEGAL-003	HOST-PUBLIC	/legal/cookies
